交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2026-07-01 08:15:00,商户消费,晨光便利店,早餐,支出,12.50,零钱,支付成功,wx001,m001,
2026-07-01 12:20:00,商户消费,好味餐厅,午餐,支出,36.00,银行卡,支付成功,wx002,m002,
2026-07-02 18:30:00,商户消费,好味餐厅,晚餐,支出,42.00,银行卡,支付成功,wx003,m003,
2026-07-03 09:00:00,转账,公司,工资,收入,8500.00,零钱,已收钱,wx004,,
2026-07-04 10:05:00,商户消费,城市出行,网约车,支出,28.00,零钱,支付成功,wx005,m005,
2026-07-04 22:10:00,商户消费,视频会员,自动续费,支出,25.00,零钱,支付成功,wx006,m006,
2026-07-05 15:20:00,商户消费,甜点工坊,下午茶,支出,19.90,零钱,支付成功,wx007,m007,
2026-07-06 15:22:00,商户消费,甜点工坊,下午茶,支出,19.90,零钱,支付成功,wx008,m008,
2026-07-07 20:00:00,商户消费,城市超市,日用品,支出,168.00,银行卡,支付成功,wx009,m009,
2026-07-08 11:00:00,转账,朋友,还款,收入,200.00,零钱,已收钱,wx010,,
